api_number,production_month,production_year,production_quarter,oil_and_gas_group,production,operator,basin,shale_play,well_name,well_length_ft
33-053-07230-0000,2022-11-01,2022,Q4,O,2255.552,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07230-0000,
33-053-07230-0000,2022-12-01,2022,Q4,O,2296.812,NEWFIELD PRODUCTION COMPANY,Bakken,Bakken,33-053-07230-0000,
33-053-07231-0000,2022-01-01,2022,Q1,G,67.0,"HRC OPERATING, LLC",Three Forks,Three Forks,33-053-07231-0000,
33-053-07231-0000,2022-01-01,2022,Q1,O,2737.0,"HRC OPERATING, LLC",Three Forks,Three Forks,33-053-07231-0000,
33-053-07231-0000,2022-02-01,2022,Q1,G,347.16666,"HRC OPERATING, LLC",Three Forks,Three Forks,33-053-07231-0000,
33-053-07231-0000,2022-02-01,2022,Q1,O,2461.0,"HRC OPERATING, LLC",Three Forks,Three Forks,33-053-07231-0000,
33-053-07231-0000,2022-10-01,2022,Q4,G,51.719334,"HRC OPERATING, LLC",Three Forks,Three Forks,33-053-07231-0000,
33-053-07233-0000,2022-02-01,2022,Q1,O,1631.0,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07233-0000,
33-053-07233-0000,2022-08-01,2022,Q3,O,1441.03,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07233-0000,
33-053-07233-0000,2022-09-01,2022,Q3,G,1121.406,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07233-0000,
33-053-07233-0000,2022-12-01,2022,Q4,G,1130.7927,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07233-0000,
33-053-07233-0000,2022-12-01,2022,Q4,O,1362.406,"HESS BAKKEN INVESTMENTS II, LLC",Bakken,Bakken,33-053-07233-0000,
33-053-07247-0000,2022-09-01,2022,Q3,O,1776.28,OASIS PETROLEUM NORTH AMERICA LLC,Bakken,Bakken,33-053-07247-0000,
33-053-07257-0000,2022-01-01,2022,Q1,O,2835.0,"WPX ENERGY WILLISTON, LLC",Bakken,Bakken,33-053-07257-0000,
