api_number,production_month,production_year,production_quarter,oil_and_gas_group,production,operator,basin,shale_play,well_name,well_length_ft
33-053-06624-0000,2022-09-01,2022,Q3,G,1970.1365,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-06624-0000,
33-053-06625-0000,2022-01-01,2022,Q1,G,33.333332,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06625-0000,
33-053-06625-0000,2022-02-01,2022,Q1,G,481.66666,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06625-0000,
33-053-06625-0000,2022-09-01,2022,Q3,G,765.27649,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06625-0000,
33-053-06625-0000,2022-12-01,2022,Q4,G,761.2085,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-06625-0000,
33-053-06626-0000,2022-07-01,2022,Q3,O,2218.187,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-06626-0000,
33-053-06626-0000,2022-11-01,2022,Q4,G,1863.1615,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-06626-0000,
33-053-06628-0000,2022-04-01,2022,Q2,O,7154.1392,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-06628-0000,
33-053-06629-0000,2022-04-01,2022,Q2,O,7231.0591,"PETRO-HUNT, L.L.C.",Three Forks,Three Forks,33-053-06629-0000,
33-053-06629-0000,2022-05-01,2022,Q2,G,4230.792,"PETRO-HUNT, L.L.C.",Three Forks,Three Forks,33-053-06629-0000,
33-053-06629-0000,2022-06-01,2022,Q2,G,4002.6765,"PETRO-HUNT, L.L.C.",Three Forks,Three Forks,33-053-06629-0000,
33-053-06629-0000,2022-08-01,2022,Q3,G,37.573833,"PETRO-HUNT, L.L.C.",Three Forks,Three Forks,33-053-06629-0000,
33-053-06658-0000,2022-01-01,2022,Q1,G,86.833336,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06658-0000,
33-053-06658-0000,2022-03-01,2022,Q1,O,2751.8601,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06658-0000,
33-053-06658-0000,2022-11-01,2022,Q4,O,2135.418,MARATHON OIL COMPANY,Bakken,Bakken,33-053-06658-0000,
33-053-06659-0000,2022-01-01,2022,Q1,G,17.833334,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06659-0000,
33-053-06659-0000,2022-11-01,2022,Q4,O,2119.6299,"HESS BAKKEN INVESTMENTS II, LLC",Three Forks,Three Forks,33-053-06659-0000,
