operator,api_number,basin,production_month,flared_gas_mcf,gross_gas_production_mcf,flaring_intensity,cumulative_flared_mcf
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2019-11-01,156.0,7539.0,0.020692399522483088,275444.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2019-12-01,1086.0,6710.0,0.16184798807749629,276530.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-01-01,1593.0,7457.0,0.21362478208394797,278123.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-02-01,9.0,5809.0,0.0015493200206576003,278132.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-03-01,26.0,6221.0,0.004179392380646198,278158.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-04-01,105.0,8406.0,0.012491077801570306,278263.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-07-01,689.0,9969.0,0.06911425418798274,278952.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-08-01,2341.0,10224.0,0.22897104851330202,281293.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-09-01,1169.0,7003.0,0.1669284592317578,282462.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-10-01,90.0,8072.0,0.011149653121902874,282552.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-11-01,42.0,9190.0,0.0045701849836779105,282594.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2020-12-01,22.0,5683.0,0.0038711947914833716,282616.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-01-01,15.0,6456.0,0.0023234200743494425,282631.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-02-01,15.0,12788.0,0.0011729746637472631,282646.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-03-01,2.0,2058.0,0.0009718172983479105,282648.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-04-01,5.0,4750.0,0.0010526315789473684,282653.0
OASIS PETROLEUM NORTH AMERICA LLC,33-053-06976-0000,Bakken,2021-05-01,27.0,15402.0,0.001753019088430074,282680.0
